gnrl_p_,id,city_nm,zoning
602 - Commercial General,0,belmont,0
602 - Commercial Highway,1,belmont,0
602 - Commercial Highway,2,belmont,0
602 - Commercial Highway,3,belmont,0
602 - Commercial Highway,4,belmont,0
602 - Commercial Highway,5,belmont,0
602 - Commercial Highway,6,belmont,0
602 - Commercial Highway,7,belmont,0
602 - Commercial Highway,8,belmont,0
602 - Commercial Highway,9,belmont,0
602 - Commercial Highway,10,belmont,0
602 - Commercial Office,11,belmont,0
602 - Commercial Office,12,belmont,0
602 - Commercial Service,13,belmont,0
602 - Commercial Service,14,belmont,0
602 - Commercial/Residential Mix,15,belmont,0
602 - Commercial/Residential Mix,16,belmont,0
602 - Hilltop Residential Open Space,17,belmont,0
602 - Hilltop Residential Open Space,18,belmont,0
602 - Hilltop Residential Open Space,19,belmont,0
602 - Hilltop Residential Open Space,20,belmont,0
602 - Hilltop Residential Open Space,21,belmont,0
602 - Hilltop Residential Open Space,22,belmont,0
602 - Hilltop Residential Open Space,23,belmont,0
602 - Hilltop Residential Open Space,24,belmont,0
602 - Industrial - General,25,belmont,0
602 - Industrial - General,26,belmont,0
602 - Industrial - Light,27,belmont,0
602 - Industrial - Light,28,belmont,0
602 - Industrial - Light,29,belmont,0
602 - Industrial - Light,30,belmont,0
602 - Industrial - Light,31,belmont,0
602 - Institutions,32,belmont,0
602 - Institutions,33,belmont,0
602 - Institutions,34,belmont,0
602 - Institutions,35,belmont,0
602 - Institutions,36,belmont,0
602 - Institutions,37,belmont,0
602 - Institutions,38,belmont,0
602 - Institutions,39,belmont,0
602 - Institutions,40,belmont,0
602 - Institutions,41,belmont,0
602 - Institutions,42,belmont,0
602 - Lake,43,belmont,0
602 - Mixed Use,44,belmont,0
602 - Neighborhood Commercial,45,belmont,0
602 - Neighborhood Commercial,46,belmont,0
602 - Neighborhood Commercial,47,belmont,0
602 - Neighborhood Commercial,48,belmont,0
602 - Neighborhood Commercial,49,belmont,0
602 - Open Space,50,belmont,0
602 - Open Space,51,belmont,0
602 - Open Space,52,belmont,0
602 - Open Space,53,belmont,0
602 - Open Space,54,belmont,0
602 - Open Space,55,belmont,0
602 - Open Space,56,belmont,0
602 - Open Space,57,belmont,0
602 - Parks and Recreation,58,belmont,0
602 - Parks and Recreation,59,belmont,0
602 - Parks and Recreation,60,belmont,0
602 - Parks and Recreation,61,belmont,0
602 - Parks and Recreation,62,belmont,0
602 - Parks and Recreation,63,belmont,0
602 - Public Facilities and Services,64,belmont,0
602 - Public Facilities and Services,65,belmont,0
602 - Public Facilities and Services,66,belmont,0
602 - Public Facilities and Services,67,belmont,0
602 - Public Facilities and Services,68,belmont,0
602 - Public Facilities and Services,69,belmont,0
602 - Public Facilities and Services,70,belmont,0
602 - Public Facilities and Services,71,belmont,0
602 - Public Facilities and Services,72,belmont,0
602 - Public Facilities and Services,73,belmont,0
602 - Public Facilities and Services,74,belmont,0
602 - Public Facilities and Services,75,belmont,0
602 - Public Facilities and Services,76,belmont,0
602 - Public Facilities and Services,77,belmont,0
602 - Public Facilities and Services,78,belmont,0
602 - Public Facilities and Services,79,belmont,0
602 - Public Facilities and Services,80,belmont,0
602 - Public Facilities and Services,81,belmont,0
602 - Residential High Density,82,belmont,2
602 - Residential High Density,83,belmont,2
602 - Residential High Density,84,belmont,2
602 - Residential High Density,85,belmont,2
602 - Residential High Density,86,belmont,2
602 - Residential High Density,87,belmont,2
602 - Residential High Density,88,belmont,2
602 - Residential High Density,89,belmont,2
602 - Residential High Density,90,belmont,2
602 - Residential High Density,91,belmont,2
602 - Residential Low Density,92,belmont,1
602 - Residential Low Density,93,belmont,1
602 - Residential Low Density,94,belmont,1
602 - Residential Low Density,95,belmont,1
602 - Residential Low Density,96,belmont,1
602 - Residential Low Density,97,belmont,1
602 - Residential Low Density,98,belmont,1
602 - Residential Low Density,99,belmont,1
602 - Residential Medium Density,100,belmont,2
602 - Residential Medium Density,101,belmont,2
602 - Residential Medium Density,102,belmont,2
602 - Residential Medium Density,103,belmont,2
602 - Residential Medium Density,104,belmont,2
602 - Residential Medium Density,105,belmont,2
602 - Residential Medium Density,106,belmont,2
602 - Residential Medium Density,107,belmont,2
602 - Residential Medium Density,108,belmont,2
602 - Residential Medium Density,109,belmont,2
602 - Residential Medium Density,110,belmont,2
602 - Residential Medium Density,111,belmont,2
602 - Residential Medium Density,112,belmont,2
602 - Residential Medium Density,113,belmont,2
602 - Residential Medium Density,114,belmont,2
602 - Residential Medium Density,115,belmont,2
602 - Residential Medium Density,116,belmont,2
602 - Residential Medium Density,117,belmont,2
602 - Residential Medium Density,118,belmont,2
602 - Residential Medium Density,119,belmont,2
602 - Residential Medium Density,120,belmont,2
602 - Residential Medium Density,121,belmont,2
602 - Mixed Use_SF,998,belmont,1
602 - Mixed Use_MF,999,belmont,2
